InternalID,Name,ExternalID,Direction,Lat,Long,Time_Point,NewZone,No_Rts_Ser,Routes_161,Mode,Public_She,Public_Sto
S00010,10TH AVE AT ANN ST,11652.0,Inbound,40.406334,-79.908116,No,1A,1.0,53L,Bus,No Shelter,Bus Stop
N71237,10TH AVE AT GARFIELD ST,20654.0,Outbound,40.606766,-79.753111,No,2,1.0,P10,Bus,No Shelter,Bus Stop
N71239,10TH AVE AT ORMOND ST,20656.0,Outbound,40.608314,-79.7505,No,2,1.0,P10,Bus,No Shelter,Bus Stop
N71238,10TH AVE AT SUMMIT ST,20655.0,Outbound,40.607561,-79.75176,No,2,1.0,P10,Bus,No Shelter,Bus Stop
S00080,12TH AVE AT AMITY ST,11650.0,Inbound,40.404325,-79.908139,No,1A,2.0,"53, 53L",Bus,No Shelter,Bus Stop
S00090,12TH AVE AT AMITY ST FS,19384.0,Outbound,40.404339,-79.908339,No,1A,2.0,"53, 53L",Bus,No Shelter,Bus Stop
E70002,16TH ST AT PENN AVE,18641.0,Inbound,40.448759,-79.987314,No,1,1.0,54,Bus,No Shelter,Bus Stop
N71245,1ST AVE AT BOYD ST,20649.0,Inbound,40.599348,-79.75546,No,2,1.0,P10,Bus,No Shelter,Bus Stop
N71244,1ST AVE AT LOCK ST,20648.0,Inbound,40.600002,-79.752677,No,2,1.0,P10,Bus,No Shelter,Bus Stop
S00530,22ND AVE AT MAIN ST,11036.0,Outbound,40.397642,-79.901809,No,1A,2.0,"53, 53L",Bus,No Shelter,Bus Stop
S00550,22ND AVE AT WEST ST,20268.0,Inbound,40.397358,-79.902668,No,1A,2.0,"53, 53L",Bus,No Shelter,Bus Stop
E00175,26TH ST AT PENN AVE FS (SPRING WAY),2593.0,Inbound,40.454635,-79.97817,No,1,3.0,"54, 88, 91",Bus,No Shelter,Bus Stop
E00180,28TH ST AT LIBERTY AVE,2161.0,Inbound,40.456288,-79.974651,No,1,1.0,54,Bus,No Shelter,Bus Stop
S01280,2ND ST AT GRANT AVE,10988.0,Both,40.373345,-79.847179,Yes,2,2.0,"59, 61C",Bus,No Shelter,Bus Stop
S01290,2ND ST AT GRANT AVE,10885.0,Inbound,40.373048,-79.846795,Yes,2,3.0,"52L, 61C, P7",Bus,No Shelter,Bus Stop
S01300,2ND ST AT HAMILTON AVE,16606.0,Both,40.375037,-79.848654,No,2,2.0,"59, 61C",Bus,No Shelter,Bus Stop
S01330,2ND ST AT KENNEDY AVE,10884.0,Both,40.371806,-79.846286,No,2,4.0,"52L, 59, 61C, P7",Bus,No Shelter,Bus Stop
S01340,2ND ST AT KENNEDY AVE FS,10989.0,Outbound,40.371985,-79.846571,No,2,1.0,61C,Bus,No Shelter,Bus Stop
S01360,2ND ST AT OLIVER AVE,16605.0,Both,40.376102,-79.849596,No,2,2.0,"59, 61C",Bus,No Shelter,Bus Stop
S01395,2ND ST AT SR CITIZEN HI-RISE,16607.0,Both,40.373876,-79.847643,No,2,2.0,"59, 61C",Bus,No Shelter,Bus Stop
N17690,31ST ST BRIDGE RAMP AT 31ST ST BRIDGE,20782.0,Outbound,40.464588,-79.979683,Yes,1,2.0,"1, 2",Bus,No Shelter,Bus Stop
N17510,31ST ST BRIDGE RAMP AT RIALTO ST,20781.0,Inbound,40.465064,-79.979739,Yes,1,2.0,"1, 2",Bus,No Shelter,Bus Stop
E00270,32ND ST AT SPRING WAY,2410.0,Outbound,40.460347,-79.969436,No,1,3.0,"54, 88, 91",Bus,No Shelter,Bus Stop
E70244,39TH ST AT BUTLER ST,18150.0,Both,40.467427,-79.963413,Yes,1,1.0,64,Bus,No Shelter,Bus Stop
W00260,3RD ST AT MAIN ST,5588.0,Inbound,40.404464,-80.091012,No,1,1.0,G31,Bus,No Shelter,Bus Stop
W00280,3RD ST AT MAIN ST FS,3898.0,Outbound,40.404356,-80.091177,No,1,1.0,G31,Bus,No Shelter,Bus Stop
E00420,40TH ST AT BUTLER ST,1199.0,Outbound,40.468655,-79.962115,No,1,1.0,93,Bus,No Shelter,Bus Stop
E00430,40TH ST AT DAVIDSON ST FS,20106.0,Outbound,40.467676,-79.960929,No,1,1.0,93,Bus,No Shelter,Bus Stop
E00445,40TH ST AT GOVERNMENT WAY STEPS,19111.0,Outbound,40.466149,-79.958976,No,1,1.0,93,Bus,No Shelter,Bus Stop
E00500,40TH ST OPP DAVIDSON ST,1149.0,Both,40.467585,-79.961076,No,1,2.0,"64, 93",Bus,No Shelter,Bus Stop
E70245,40TH ST OPP GOVERNMENT WAY STEPS,18152.0,Both,40.466276,-79.959448,No,1,2.0,"64, 93",Bus,No Shelter,Bus Stop
N01830,4TH AVE AT 7TH ST,12659.0,Both,40.562968,-79.765892,No,2,1.0,1,Bus,No Shelter,Bus Stop
E70766,4TH AVE AT ANTISBURY ST,20428.0,Both,40.412745,-79.879407,No,1A,3.0,"59, 71, P7",Bus,No Shelter,Bus Stop
W00300,4TH AVE AT BROADWAY ST,2362.0,Outbound,40.517221,-80.160402,No,2,1.0,21,Bus,No Shelter,Bus Stop
N01935,4TH AVE AT CENTRAL CITY PLAZA,12658.0,Both,40.564076,-79.766177,Yes,2,1.0,1,Bus,No Shelter,Bus Stop
W70156,4TH AVE AT CHESTNUT ST,22337.0,Outbound,40.516637,-80.158971,No,2,1.0,21,Bus,No Shelter,Bus Stop
E70765,4TH AVE AT DUQUESNE ST,20427.0,Both,40.411573,-79.877131,No,1A,3.0,"59, 71, P7",Bus,No Shelter,Bus Stop
W00330,4TH AVE AT MAIN ST NS,2365.0,Outbound,40.519278,-80.165931,No,2,1.0,21,Bus,No Shelter,Bus Stop
W00340,4TH AVE AT MILL ST,2364.0,Outbound,40.51841,-80.163536,No,2,1.0,21,Bus,No Shelter,Bus Stop
W00370,4TH AVE AT MULBERRY ST,2363.0,Outbound,40.517784,-80.161917,No,2,1.0,21,Bus,No Shelter,Bus Stop
N71246,4TH AVE AT TARENTUM PARK AND RIDE,20650.0,Inbound,40.600438,-79.756955,Yes,2,1.0,P10,Bus,No Shelter,Bus Stop
W00390,4TH AVE AT THORN ST,2370.0,Outbound,40.52254,-80.174486,No,2,1.0,21,Bus,No Shelter,Bus Stop
W00290,4TH AVE OPP ARCH ST,2360.0,Outbound,40.515579,-80.156087,No,2,1.0,21,Bus,No Shelter,Bus Stop
W00440,4TH AVE OPP KENDALL ST,2366.0,Outbound,40.520048,-80.167854,No,2,1.0,21,Bus,No Shelter,Bus Stop
W00450,4TH AVE OPP LOCUST ST,2368.0,Outbound,40.52123,-80.171049,No,2,1.0,21,Bus,No Shelter,Bus Stop
W00470,4TH AVE OPP THORN RUN RD (OPP PARK AND RID,2371.0,Outbound,40.523166,-80.176191,Yes,2,1.0,21,Bus,No Shelter,Bus Stop
E00750,4TH ST AT COREY AVE,12590.0,Outbound,40.408242,-79.867215,No,1A,1.0,59,Bus,No Shelter,Bus Stop
S01520,4TH ST AT GRANT AVE,12019.0,Outbound,40.372558,-79.848922,No,2,1.0,59,Bus,No Shelter,Bus Stop
E70885,4TH ST AT HAWKINS AVE,21653.0,Inbound,40.409216,-79.866855,Yes,1A,1.0,59,Bus,No Shelter,Bus Stop
S01530,4TH ST AT KENNEDY AVE,12018.0,Outbound,40.371305,-79.84841,No,2,1.0,59,Bus,No Shelter,Bus Stop
S01540,4TH ST AT VIOLA AVE,12017.0,Outbound,40.369482,-79.847657,No,2,1.0,59,Bus,No Shelter,Bus Stop
E70410,56TH ST AT BUTLER ST,9259.0,Inbound,40.484339,-79.947944,No,1,2.0,"87, 93",Bus,No Shelter,Bus Stop
S01620,5TH AVE AT #1681,17224.0,Both,40.353075,-79.846979,No,2,5.0,"55, 56, 59, 61C, P7",Bus,No Shelter,Bus Stop
W00490,5TH AVE AT CHESS ST FS,18788.0,Inbound,40.520975,-80.173599,No,2,1.0,21,Bus,No Shelter,Bus Stop
W00510,5TH AVE AT CHESTNUT ST FS,18790.0,Inbound,40.515469,-80.159443,No,2,1.0,21,Bus,No Shelter,Bus Stop
W00600,5TH AVE AT MAIN ST,2199.0,Inbound,40.518368,-80.167022,No,2,1.0,21,Bus,No Shelter,Bus Stop
W00610,5TH AVE AT MILL ST FS,18792.0,Inbound,40.517195,-80.164006,No,2,1.0,21,Bus,No Shelter,Bus Stop
W00620,5TH AVE AT MONTOUR ST,18791.0,Inbound,40.514151,-80.155914,No,2,1.0,21,Bus,No Shelter,Bus Stop
S01810,5TH AVE AT PIRL ST,9899.0,Both,40.352972,-79.844033,No,2,2.0,"56, 60",Bus,No Shelter,Bus Stop
W00650,5TH AVE AT THORN HOLLOW RD FS,18787.0,Inbound,40.522506,-80.176911,Yes,2,1.0,21,Bus,No Shelter,Bus Stop
W00660,5TH AVE AT WOOD ST FS,18789.0,Inbound,40.519362,-80.169518,No,2,1.0,21,Bus,No Shelter,Bus Stop
E70824,5TH ST AT BRINTON AVE,20805.0,Outbound,40.385999,-79.760619,No,2,2.0,"69, P69",Bus,No Shelter,Bus Stop
E02110,5TH ST AT CAVIT AVE,7858.0,Inbound,40.385732,-79.76009,No,2,2.0,"69, P69",Bus,No Shelter,Bus Stop
S02160,5TH ST AT COCHRAN ST,11971.0,Inbound,40.36669,-79.847956,No,2,1.0,59,Bus,No Shelter,Bus Stop
S02170,5TH ST AT COCHRAN ST,12014.0,Outbound,40.366503,-79.847919,No,2,1.0,59,Bus,No Shelter,Bus Stop
S02180,5TH ST AT CRAWFORD AVE,11972.0,Inbound,40.364673,-79.846984,No,2,1.0,59,Bus,No Shelter,Bus Stop
E20050,5TH ST AT DUQUESNE AVE,20789.0,Inbound,40.385602,-79.759239,No,2,2.0,"69, P69",Bus,No Shelter,Bus Stop
S02210,5TH ST AT KENNEDY AVE,11968.0,Inbound,40.371275,-79.849713,No,2,1.0,59,Bus,No Shelter,Bus Stop
S02250,5TH ST AT PRISCILLA AVE,11970.0,Inbound,40.368472,-79.8485,No,2,1.0,59,Bus,No Shelter,Bus Stop
S02260,5TH ST AT PRISCILLA AVE,12015.0,Outbound,40.368281,-79.84827,No,2,1.0,59,Bus,No Shelter,Bus Stop
S02270,5TH ST AT VIOLA AVE,11969.0,Inbound,40.369368,-79.848903,No,2,1.0,59,Bus,No Shelter,Bus Stop
E02245,6TH ST AT BALDRIDGE AVE,12567.0,Inbound,40.405727,-79.863519,No,1A,1.0,59,Bus,No Shelter,Bus Stop
P00760,6TH ST AT FT DUQUESNE BLVD,1411.0,Outbound,40.443906,-80.002613,No,Free,5.0,"7, 13, 15, 16, 17",Bus,No Shelter,Bus Stop
E70589,7TH ST AT BRADDOCK AVE,20937.0,Inbound,40.402233,-79.867405,Yes,1A,2.0,"61A, 61B",Bus,No Shelter,Bus Stop
E70821,7TH ST AT FOREST AVE,20802.0,Outbound,40.387473,-79.756857,No,2,2.0,"69, P69",Bus,No Shelter,Bus Stop
P00930,7TH ST AT PENN AVE,20182.0,Both,40.443298,-80.000402,Yes,Free,3.0,"13, 16, 17",Bus,No Shelter,Bus Stop
P00940,7TH ST AT PENN AVE FS,12626.0,Both,40.442942,-80.000236,Yes,Free,4.0,"1, 6, 11, 15",Bus,No Shelter,Bus Stop
E02430,7TH ST AT PROSPECT AVE,20792.0,Inbound,40.386382,-79.752605,No,2,2.0,"69, P69",Bus,No Shelter,Bus Stop
E70820,7TH ST AT PROSPECT AVE,20801.0,Outbound,40.38642,-79.752249,No,2,2.0,"69, P69",Bus,No Shelter,Bus Stop
E70828,7TH ST AT TIMBER LN,20793.0,Inbound,40.388053,-79.748372,No,2,2.0,"69, P69",Bus,No Shelter,Bus Stop
N03995,7TH ST OPP NEW KEN HOSPITAL,12660.0,Both,40.562343,-79.765975,No,2,1.0,1,Bus,No Shelter,Bus Stop
S02550,8TH AVE AT AMITY ST,10909.0,Both,40.407186,-79.910768,Yes,1A,4.0,"52L, 53L, 59, 61C",Bus,No Shelter,Bus Stop
S02570,8TH AVE AT AMITY ST FS,10962.0,Both,40.407175,-79.910404,Yes,1A,5.0,"52L, 53, 53L, 59, 61C",Bus,No Shelter,Bus Stop
S02610,8TH AVE AT ANN ST,10908.0,Both,40.407984,-79.90919,No,1A,3.0,"52L, 59, 61C",Bus,No Shelter,Bus Stop
S02620,8TH AVE AT ANN ST FS,10963.0,Both,40.407878,-79.909006,No,1A,5.0,"52L, 53, 53L, 59, 61C",Bus,No Shelter,Bus Stop
S02660,8TH AVE AT DICKSON ST,10906.0,Both,40.408944,-79.905292,No,1A,3.0,"52L, 59, 61C",Bus,No Shelter,Bus Stop
S02670,8TH AVE AT DICKSON ST,10965.0,Both,40.408742,-79.905681,No,1A,3.0,"52L, 59, 61C",Bus,No Shelter,Bus Stop
S02715,8TH AVE AT GRANT ST,10968.0,Both,40.409125,-79.8988,No,1A,3.0,"52L, 59, 61C",Bus,No Shelter,Bus Stop
S02750,8TH AVE AT HEISEL ST,10905.0,Both,40.40905,-79.903981,No,1A,3.0,"52L, 59, 61C",Bus,No Shelter,Bus Stop
S35020,8TH AVE AT HILLTOP ST,10972.0,Outbound,40.407778,-79.892243,No,1A,1.0,61C,Bus,No Shelter,Bus Stop
S02820,8TH AVE AT LIBRARY PL,10966.0,Both,40.408875,-79.903387,No,1A,3.0,"52L, 59, 61C",Bus,No Shelter,Bus Stop
S02830,8TH AVE AT MCCLURE ST,10907.0,Both,40.408832,-79.907374,No,1A,3.0,"52L, 59, 61C",Bus,No Shelter,Bus Stop
S02840,8TH AVE AT MCCLURE ST,10964.0,Both,40.408618,-79.907536,No,1A,5.0,"52L, 53, 53L, 59, 61C",Bus,No Shelter,Bus Stop
S02880,8TH AVE AT RAVINE ST,10969.0,Both,40.408585,-79.895356,No,1A,3.0,"52L, 59, 61C",Bus,No Shelter,Bus Stop
S02910,8TH AVE AT WEST ST (HI-LEVEL BRIDGE),10910.0,Inbound,40.406249,-79.91207,No,1A,4.0,"52L, 53L, 57, 61C",Bus,No Shelter,Bus Stop
S02930,8TH AVE AT WEST ST FS,10961.0,Both,40.40613,-79.911848,No,1A,6.0,"52L, 53, 53L, 57, 59, 61C",Bus,No Shelter,Bus Stop
S02965,8TH AVE OPP ANDREW ST,10903.0,Inbound,40.409206,-79.901104,No,1A,1.0,61C,Bus,No Shelter,Bus Stop
S02990,8TH AVE OPP GRANT ST,10902.0,Both,40.40932,-79.898685,No,1A,3.0,"52L, 59, 61C",Bus,No Shelter,Bus Stop
S34965,8TH AVE OPP HILLTOP ST,10899.0,Inbound,40.40786,-79.89185,No,1A,1.0,61C,Bus,No Shelter,Bus Stop
S03090,8TH AVE OPP RAVINE ST,20299.0,Both,40.408759,-79.895273,Yes,1A,3.0,"52L, 59, 61C",Bus,No Shelter,Bus Stop
S03530,9TH AVE AT AMITY ST,11027.0,Outbound,40.406538,-79.909999,No,1A,2.0,"53, 53L",Bus,No Shelter,Bus Stop
S03550,9TH AVE AT ANN ST,11026.0,Outbound,40.407235,-79.908548,No,1A,2.0,"53, 53L",Bus,No Shelter,Bus Stop
N04200,9TH AVE AT CORBET ST,13479.0,Inbound,40.60493,-79.753423,No,2,1.0,P10,Bus,No Shelter,Bus Stop
N04260,9TH AVE AT HORNER ST,13477.0,Inbound,40.607639,-79.747476,No,2,1.0,P10,Bus,No Shelter,Bus Stop
N04300,9TH AVE AT MORGAN ST,13326.0,Inbound,40.609633,-79.741803,No,2,1.0,P10,Bus,No Shelter,Bus Stop
N04310,9TH AVE AT MORGAN ST,13490.0,Outbound,40.609402,-79.742047,No,2,1.0,P10,Bus,No Shelter,Bus Stop
N04320,9TH AVE AT ORMOND ST,13478.0,Inbound,40.606864,-79.749106,No,2,1.0,P10,Bus,No Shelter,Bus Stop
N04340,9TH AVE AT PENN ST,20109.0,Outbound,40.609818,-79.74018,Yes,2,1.0,P10,Bus,No Shelter,Bus Stop
N04360,9TH AVE AT PENN ST FS,13474.0,Inbound,40.609954,-79.740353,Yes,2,1.0,P10,Bus,No Shelter,Bus Stop
N04380,9TH AVE AT PROSPECT ST,13475.0,Inbound,40.609093,-79.744117,No,2,1.0,P10,Bus,No Shelter,Bus Stop
N04240,9TH AVE OPP GRANT ST,13476.0,Inbound,40.608373,-79.745826,No,2,1.0,P10,Bus,No Shelter,Bus Stop
S70331,9TH ST AT HEMLOCK WAY,20547.0,Inbound,40.321083,-79.891767,No,2,1.0,55,Bus,No Shelter,Bus Stop
S70372,9TH ST AT OHIO AVE,20664.0,Outbound,40.320927,-79.891525,No,2,1.0,55,Bus,No Shelter,Bus Stop
E02790,ABER RD AT #8077,8845.0,Both,40.469171,-79.862215,No,1,2.0,"79, P17",Bus,No Shelter,Bus Stop
E02810,ABER RD AT #8141,8844.0,Both,40.471007,-79.861553,No,1,2.0,"79, P17",Bus,No Shelter,Bus Stop
E02770,ABER RD AT GROVE RD,8846.0,Both,40.467845,-79.865294,No,1,2.0,"79, P17",Bus,No Shelter,Bus Stop
E02850,ABER RD AT URBAN DR,8847.0,Both,40.467325,-79.86936,No,1,2.0,"79, P17",Bus,No Shelter,Bus Stop
E02870,ABER RD OPP HARVEST DR,8843.0,Both,40.47345,-79.861848,No,1,2.0,"79, P17",Bus,No Shelter,Bus Stop
E02890,ADELAIDE ST AT CAMP ST,9057.0,Inbound,40.453361,-79.957913,No,1,1.0,83,Bus,No Shelter,Bus Stop
E02900,ADELAIDE ST AT IOWA ST FS,19491.0,Inbound,40.452942,-79.956694,No,1,1.0,83,Bus,No Shelter,Bus Stop
E02910,ADELAIDE ST AT MILWAUKEE ST,9002.0,Inbound,40.454627,-79.960621,Yes,1,1.0,83,Bus,No Shelter,Bus Stop
S70515,AGNEW AVE AT BECKS RUN RD,21556.0,Inbound,40.397001,-79.978556,No,1,1.0,44,Bus,No Shelter,Bus Stop
S70516,AGNEW AVE AT BECKS RUN RD FS,21557.0,Outbound,40.396881,-79.978467,No,1,1.0,44,Bus,No Shelter,Bus Stop
S70510,AGNEW RD AT ACADEMY CHARTER SCHOOL DRVWY,21552.0,Inbound,40.399358,-79.967565,No,1,1.0,44,Bus,No Shelter,Bus Stop
S70518,AGNEW RD AT ALAN ST,21558.0,Outbound,40.396329,-79.973913,No,1,1.0,44,Bus,No Shelter,Bus Stop
